recipe_id,period_id,start,end,days,scheduled_slots,executed_slots,executed_days,executed_day_fraction,executed_slot_fraction,executed_hit_rate,gross_mean_pct,net20_mean_pct,net20_median_pct,net40_mean_pct,profit_factor_net20,top5_removed_net20_mean_pct,positive_months,months,positive_month_fraction,largest_day_share_of_positive_profit,paired_uplift_vs_forced_pct
forced_top2,error_discovery,2024-07-01,2024-10-31,84,168,167,84,1.0,0.9940476190476191,0.3772455089820359,-0.3948479002064958,-0.5936574240160194,-0.6961140067273578,-0.7924669478255433,0.4942291909613592,-0.9036715428025306,1,4,0.25,0.1073903728234868,0.0
forced_top2,replay_a,2024-11-01,2024-12-30,41,82,82,41,1.0,1.0,0.6341463414634146,0.6183110186204042,0.4183110186204041,0.625035561877674,0.21831101862040408,1.8083936461354162,0.04763382371272421,2,2,1.0,0.09091184773583254,0.0
forced_top2,replay_b,2025-01-06,2025-03-31,57,114,114,57,1.0,1.0,0.4649122807017544,-0.22187845086964467,-0.4218784508696447,-0.25414012738853553,-0.6218784508696447,0.48922035166444083,-0.6675662040257271,0,3,0.0,0.16735042980860415,0.0
forced_top2,replay_c,2025-04-01,2025-07-31,84,168,167,84,1.0,0.9940476190476191,0.4251497005988024,-0.3251078173657951,-0.5239173411753189,-0.36405238702700005,-0.7227268649848427,0.4302557627161497,-0.7587723583631439,1,4,0.25,0.11850543815037884,0.0
forced_top2,replay_combined,2024-11-01,2025-07-31,182,364,363,182,1.0,0.9972527472527473,0.48484848484848486,-0.08024932194977999,-0.27969987140032954,-0.1440121504023143,-0.4791504208508789,0.6502274753342656,-0.38934217508263597,3,9,0.3333333333333333,0.04161825002806492,0.0
forced_top2,retrospective_union,2024-07-01,2025-07-31,266,532,530,266,1.0,0.9962406015037594,0.4509433962264151,-0.1795962413992692,-0.37884436170002106,-0.21935860986800879,-0.5780924820007729,0.5872259313572431,-0.4721903353438345,4,13,0.3076923076923077,0.03650227126828232,0.0
veto_range_expansion,error_discovery,2024-07-01,2024-10-31,84,168,128,77,0.9166666666666666,0.7619047619047619,0.40625,-0.19546423897596393,-0.3478451913569163,-0.1285621541719127,-0.5002261437378687,0.5763882280687258,-0.5960076231487115,1,4,0.25,0.12440543192309766,0.24581223265910315
veto_range_expansion,replay_a,2024-11-01,2024-12-30,41,82,67,41,1.0,0.8170731707317073,0.6716417910447762,0.7889171324029168,0.6255024982565751,0.6568376068376125,0.4620878641102339,3.1026961837574674,0.3188475439499445,2,2,1.0,0.08036676490941434,0.20719147963617124
veto_range_expansion,replay_b,2025-01-06,2025-03-31,57,114,97,57,1.0,0.8508771929824561,0.4742268041237113,-0.16996361461287168,-0.34013905320936294,-0.11815811537100851,-0.5103144918058541,0.48858702539966525,-0.5180191414245262,0,3,0.0,0.08981145009496337,0.08173939766028178
veto_range_expansion,replay_c,2025-04-01,2025-07-31,84,168,136,77,0.9166666666666666,0.8095238095238095,0.41911764705882354,-0.18454354665766665,-0.34644830856242864,-0.07569432573367707,-0.5083530704671905,0.5003014136988435,-0.5282172015350076,0,4,0.0,0.10893948649137507,0.17746903261289032
veto_range_expansion,replay_combined,2024-11-01,2025-07-31,182,364,300,175,0.9615384615384616,0.8241758241758241,0.49333333333333335,0.03931878283704346,-0.12551638199812146,-0.016774614855335823,-0.29035154683328623,0.7891560891597382,-0.2119946426875515,2,9,0.2222222222222222,0.03712385053725298,0.15418348940220805
veto_range_expansion,retrospective_union,2024-07-01,2025-07-31,266,532,428,252,0.9473684210526315,0.8045112781954887,0.4672897196261682,-0.03482322405127467,-0.1957254796903724,-0.043728100168993575,-0.3566277353294702,0.7063919364469075,-0.27023216288131174,3,13,0.23076923076923078,0.03948616521602079,0.1831188820096486
veto_close_volatility_expansion,error_discovery,2024-07-01,2024-10-31,84,168,137,79,0.9404761904761905,0.8154761904761905,0.40875912408759124,-0.07049710873184296,-0.23359234682708113,-0.1579294060324392,-0.39668758492231926,0.7038263499501588,-0.4988909714597761,1,4,0.25,0.10607052419550594,0.3600650771889384
veto_close_volatility_expansion,replay_a,2024-11-01,2024-12-30,41,82,68,40,0.975609756097561,0.8292682926829268,0.6764705882352942,0.796287352284854,0.6304336937482685,0.625035561877674,0.4645800352116832,3.238299959559343,0.30696565527939335,2,2,1.0,0.08810428822559399,0.21212267512786454
veto_close_volatility_expansion,replay_b,2025-01-06,2025-03-31,57,114,103,56,0.9824561403508771,0.9035087719298246,0.46601941747572817,-0.19819006017099194,-0.3788918145569568,-0.2473722456080294,-0.5595935689429217,0.47255021714531814,-0.5800978614884588,0,3,0.0,0.1250294558283423,0.04298663631268785
veto_close_volatility_expansion,replay_c,2025-04-01,2025-07-31,84,168,138,79,0.9404761904761905,0.8214285714285714,0.42028985507246375,-0.25204969388232645,-0.41633540816804077,-0.13983310359363932,-0.5806211224537551,0.43438184920774514,-0.6014594595499699,0,4,0.0,0.12780598606644833,0.10758193300727813
veto_close_volatility_expansion,replay_combined,2024-11-01,2025-07-31,182,364,309,175,0.9615384615384616,0.8489010989010989,0.4919093851132686,0.0009822732297640635,-0.1687979465504558,-0.05827910605891973,-0.33857816633067556,0.7312786377055385,-0.2607168189540906,2,9,0.2222222222222222,0.041058484978111924,0.11090192484987374
veto_close_volatility_expansion,retrospective_union,2024-07-01,2025-07-31,266,532,446,254,0.9548872180451128,0.8383458646616542,0.4663677130044843,-0.02159016317916446,-0.1892593361114953,-0.07569432573367707,-0.35692850904382617,0.7212066910154687,-0.2697882400578705,3,13,0.23076923076923078,0.03797828644376933,0.1895850255885257
veto_deep_60d_relative_loser,error_discovery,2024-07-01,2024-10-31,84,168,116,76,0.9047619047619048,0.6904761904761905,0.39655172413793105,-0.2636014549686317,-0.4016966930638696,-0.03256779211908409,-0.5397919311591078,0.5411208405254452,-0.6515218510541039,1,4,0.25,0.1155356110084954,0.1919607309521497
