date,model_rank,code,name,model_score,oc_return_pct,candidate_id,fold_period,top_k,executed
2025-04-22,1,7043,アルー,0.12551200086453468,1.3157894736842035,L4_price_control,2025-04,1,True
2025-04-23,1,7043,アルー,0.1275724323653617,-0.575539568345329,L4_price_control,2025-04,1,True
2025-04-24,1,7043,アルー,0.14452222038267848,0.5788712011577379,L4_price_control,2025-04,1,True
2025-04-25,1,7043,アルー,0.13383982671023123,0.1436781609195359,L4_price_control,2025-04,1,True
2025-04-30,1,7043,アルー,0.13140565770377144,0.14409221902016434,L4_price_control,2025-04,1,True
2025-05-01,1,7043,アルー,0.12368475922647892,0.2877697841726645,L4_price_control,2025-05,1,True
2025-05-08,1,6034,ＭＲＴ,0.11308765281951445,-0.14492753623188692,L4_price_control,2025-05,1,True
2025-05-09,1,7043,アルー,0.11522432839812936,2.384291725105192,L4_price_control,2025-05,1,True
2025-05-12,1,7345,アイ・パートナーズフィナンシャル,0.12961754498014105,1.6042780748663166,L4_price_control,2025-05,1,True
2025-05-13,1,2282,日本ハム,0.12740010407049004,-0.43330821401658115,L4_price_control,2025-05,1,True
2025-05-14,1,7345,アイ・パートナーズフィナンシャル,0.13983829492272726,3.392857142857153,L4_price_control,2025-05,1,True
2025-05-15,1,4069,ＢｌｕｅＭｅｍｅ,0.12166096800030529,2.57548845470692,L4_price_control,2025-05,1,True
2025-05-16,1,7345,アイ・パートナーズフィナンシャル,0.13029560558292252,0.8928571428571397,L4_price_control,2025-05,1,True
2025-05-19,1,6034,ＭＲＴ,0.11618820218068768,-1.3274336283185861,L4_price_control,2025-05,1,True
2025-05-20,1,7345,アイ・パートナーズフィナンシャル,0.1163407575693703,0.727272727272732,L4_price_control,2025-05,1,True
2025-05-21,1,6346,キクカワエンタープライズ,0.1088579606381919,0.8944543828264706,L4_price_control,2025-05,1,True
2025-05-27,1,5945,天龍製鋸,0.11800283420726844,0.10804970286331095,L4_price_control,2025-05,1,True
2025-05-28,1,5945,天龍製鋸,0.13109457488725768,0.37776578521315773,L4_price_control,2025-05,1,True
2025-05-29,1,7345,アイ・パートナーズフィナンシャル,0.14160923164117253,1.4814814814814836,L4_price_control,2025-05,1,True
2025-05-30,1,5945,天龍製鋸,0.1357514922067471,0.2702702702702675,L4_price_control,2025-05,1,True
2025-06-02,1,5945,天龍製鋸,0.121611307648539,-0.48179871520342976,L4_price_control,2025-06,1,True
2025-06-03,1,3271,ＴＨＥグローバル社,0.10627741600253054,-0.6295907660020972,L4_price_control,2025-06,1,True
2025-06-04,1,6346,キクカワエンタープライズ,0.11481669382730776,1.0869565217391353,L4_price_control,2025-06,1,True
2025-06-05,1,6346,キクカワエンタープライズ,0.11032151981015433,,L4_price_control,2025-06,1,False
2025-06-06,1,3948,光ビジネスフォーム,0.11513797687057166,1.6999999999999904,L4_price_control,2025-06,1,True
2025-06-09,1,3271,ＴＨＥグローバル社,0.09642590508110915,0.0,L4_price_control,2025-06,1,True
2025-06-10,1,9142,九州旅客鉄道,0.09212779352089082,-0.42440318302386926,L4_price_control,2025-06,1,True
2025-06-11,1,175A,Ｗｉｌｌ Ｓｍａｒｔ,0.09694520895825665,2.1437578814627933,L4_price_control,2025-06,1,True
2025-06-12,1,6158,和井⽥製作所,0.10125375529708451,-0.3386004514672636,L4_price_control,2025-06,1,True
2025-06-13,1,1866,北野建設,0.10544501169473901,2.9484029484029506,L4_price_control,2025-06,1,True
2025-06-17,1,7255,桜井製作所,0.12019711432987772,1.7513134851138368,L4_price_control,2025-06,1,True
2025-06-18,1,7255,桜井製作所,0.10866964614444317,0.17241379310344307,L4_price_control,2025-06,1,True
2025-06-19,1,9767,日建⼯学,0.12168563781950838,1.6702977487291104,L4_price_control,2025-06,1,True
2025-06-20,1,3843,フリービット,0.1015155184140439,-1.480959097320167,L4_price_control,2025-06,1,True
2025-06-24,1,2327,日鉄ソリューションズ,0.1012674585575704,-0.42918454935622075,L4_price_control,2025-06,1,True
2025-06-25,1,4437,ｇｏｏｄｄａｙｓホールディングス,0.11677298452190224,-0.295857988165682,L4_price_control,2025-06,1,True
2025-06-26,1,4437,ｇｏｏｄｄａｙｓホールディングス,0.1002126309002456,1.5037593984962516,L4_price_control,2025-06,1,True
2025-06-27,1,6648,かわでん,0.10140879473471885,-1.851851851851849,L4_price_control,2025-06,1,True
2025-06-30,1,4437,ｇｏｏｄｄａｙｓホールディングス,0.1206203419974279,1.4925373134328401,L4_price_control,2025-06,1,True
2025-07-01,1,9361,伏木海陸運送,0.11012275650790314,-0.3056234718826434,L4_price_control,2025-07,1,True
2025-07-02,1,9361,伏木海陸運送,0.10195250434127154,-0.5518087063151489,L4_price_control,2025-07,1,True
2025-07-07,1,7043,アルー,0.10718479207572439,0.26041666666667407,L4_price_control,2025-07,1,True
2025-07-08,1,7043,アルー,0.10997466419606634,0.39215686274509665,L4_price_control,2025-07,1,True
2025-07-09,1,7043,アルー,0.1354971825086205,0.78125,L4_price_control,2025-07,1,True
2025-07-10,1,7043,アルー,0.11974791124158976,0.3896103896103842,L4_price_control,2025-07,1,True
2025-07-11,1,4437,ｇｏｏｄｄａｙｓホールディングス,0.119840444159529,0.2928257686676483,L4_price_control,2025-07,1,True
2025-07-14,1,4437,ｇｏｏｄｄａｙｓホールディングス,0.12278675669357789,-0.7246376811594235,L4_price_control,2025-07,1,True
2025-07-15,1,7043,アルー,0.12566225621553934,0.0,L4_price_control,2025-07,1,True
