period_id,marker,state,candidate_rows,observed_return_rows,mean_oc_return_pct,median_oc_return_pct,loss_rate,catastrophic_loss_rate
error_discovery,range_expansion,marked,39,39,-0.8588834637622904,-0.6980802792321161,0.6666666666666666,0.1282051282051282
error_discovery,range_expansion,unmarked,128,128,-0.25654681365595267,-0.1233975822904298,0.515625,0.03125
error_discovery,range_expansion,unavailable,1,0,,,,
error_discovery,close_volatility_expansion,marked,30,30,-1.816364432258055,-0.9904789210240239,0.6666666666666666,0.26666666666666666
error_discovery,close_volatility_expansion,unmarked,138,137,-0.08644900924780737,-0.153668843641952,0.5255474452554745,0.0072992700729927005
error_discovery,close_volatility_expansion,unavailable,0,0,,,,
error_discovery,deep_60d_relative_loser,marked,52,51,-0.43234123137178726,-0.1219512195121952,0.5098039215686274,0.058823529411764705
error_discovery,deep_60d_relative_loser,unmarked,104,104,-0.4317169160572689,-0.4746017838287153,0.5865384615384616,0.057692307692307696
error_discovery,deep_60d_relative_loser,unavailable,12,12,0.05112623626882059,0.0760679139180209,0.4166666666666667,0.0
error_discovery,frequent_flat_session,marked,39,38,-0.33004883459954243,-0.18820577164366245,0.5,0.07894736842105263
error_discovery,frequent_flat_session,unmarked,129,129,-0.4169968334876641,-0.2380952380952372,0.5658914728682171,0.046511627906976744
error_discovery,frequent_flat_session,unavailable,0,0,,,,
error_discovery,large_positive_overnight,marked,57,57,-0.3678755428414572,-0.8534850640113834,0.5964912280701754,0.05263157894736842
error_discovery,large_positive_overnight,unmarked,111,110,-0.41241401175207476,-0.13964849217273365,0.5272727272727272,0.05454545454545454
error_discovery,large_positive_overnight,unavailable,0,0,,,,
error_discovery,count_ge_1,marked,121,121,-0.48206784566587213,-0.2504173622704497,0.5619834710743802,0.0743801652892562
error_discovery,count_ge_1,unmarked,34,34,-0.2534633160101936,-0.3093888995518767,0.5588235294117647,0.0
error_discovery,count_ge_1,unavailable,13,12,0.05112623626882059,0.0760679139180209,0.4166666666666667,0.0
error_discovery,count_ge_2,marked,58,58,-1.1993775246151273,-0.9772308502237426,0.6379310344827587,0.13793103448275862
error_discovery,count_ge_2,unmarked,97,97,0.026968395440827415,-0.1219512195121952,0.5154639175257731,0.010309278350515464
error_discovery,count_ge_2,unavailable,13,12,0.05112623626882059,0.0760679139180209,0.4166666666666667,0.0
error_discovery,count_ge_3,marked,25,25,-0.8781058952893743,-0.6980802792321161,0.6,0.16
error_discovery,count_ge_3,unmarked,130,130,-0.3461178052898674,-0.1934668245071713,0.5538461538461539,0.038461538461538464
error_discovery,count_ge_3,unavailable,13,12,0.05112623626882059,0.0760679139180209,0.4166666666666667,0.0
replay_a,range_expansion,marked,15,15,-0.9326467553444026,-0.2747252747252737,0.5333333333333333,0.06666666666666667
