date,model_rank,code,name,model_score,score_eligible,label,oc_return_pct,candidate_id,top_k
2025-06-03,1,3271,ＴＨＥグローバル社,0.10627741600253054,True,0,-0.62959076600209718,L4_price_control,1
2025-06-04,1,6346,キクカワエンタープライズ,0.11481669382730776,True,1,1.0869565217391353,L4_price_control,1
2025-06-05,1,6346,キクカワエンタープライズ,0.11032151981015433,True,,,L4_price_control,1
2025-06-06,1,3948,光ビジネスフォーム,0.11513797687057166,True,1,1.6999999999999904,L4_price_control,1
2025-06-09,1,3271,ＴＨＥグローバル社,0.096425905081109153,True,0,0,L4_price_control,1
2025-06-10,1,9142,九州旅客鉄道,0.092127793520890816,True,0,-0.42440318302386926,L4_price_control,1
2025-06-11,1,175A,Ｗｉｌｌ Ｓｍａｒｔ,0.096945208958256646,True,1,2.1437578814627933,L4_price_control,1
2025-06-12,1,6158,和井⽥製作所,0.10125375529708451,True,0,-0.33860045146726359,L4_price_control,1
2025-06-13,1,1866,北野建設,0.10544501169473901,True,1,2.9484029484029506,L4_price_control,1
2025-06-17,1,7255,桜井製作所,0.12019711432987772,True,1,1.7513134851138368,L4_price_control,1
2025-06-18,1,7255,桜井製作所,0.10866964614444317,True,1,0.17241379310344307,L4_price_control,1
2025-06-19,1,9767,日建⼯学,0.12168563781950838,True,1,1.6702977487291104,L4_price_control,1
2025-06-20,1,3843,フリービット,0.1015155184140439,True,0,-1.480959097320167,L4_price_control,1
2025-06-24,1,2327,日鉄ソリューションズ,0.1012674585575704,True,0,-0.42918454935622075,L4_price_control,1
2025-06-25,1,4437,ｇｏｏｄｄａｙｓホールディングス,0.11677298452190224,True,0,-0.29585798816568198,L4_price_control,1
2025-06-26,1,4437,ｇｏｏｄｄａｙｓホールディングス,0.1002126309002456,True,1,1.5037593984962516,L4_price_control,1
2025-06-27,1,6648,かわでん,0.10140879473471885,True,0,-1.851851851851849,L4_price_control,1
2025-06-30,1,4437,ｇｏｏｄｄａｙｓホールディングス,0.1206203419974279,True,1,1.4925373134328401,L4_price_control,1
2025-07-01,1,9361,伏木海陸運送,0.11012275650790314,True,0,-0.30562347188264338,L4_price_control,1
2025-07-02,1,9361,伏木海陸運送,0.10195250434127154,True,0,-0.55180870631514889,L4_price_control,1
2025-07-07,1,7043,アルー,0.10718479207572439,True,1,0.26041666666667407,L4_price_control,1
2025-07-08,1,7043,アルー,0.10997466419606634,True,1,0.39215686274509665,L4_price_control,1
2025-07-09,1,7043,アルー,0.1354971825086205,True,1,0.78125,L4_price_control,1
2025-07-10,1,7043,アルー,0.11974791124158976,True,1,0.38961038961038419,L4_price_control,1
2025-07-11,1,4437,ｇｏｏｄｄａｙｓホールディングス,0.11984044415952901,True,1,0.29282576866764831,L4_price_control,1
2025-07-14,1,4437,ｇｏｏｄｄａｙｓホールディングス,0.12278675669357789,True,0,-0.72463768115942351,L4_price_control,1
2025-07-15,1,7043,アルー,0.12566225621553934,True,0,0,L4_price_control,1
2025-07-16,1,7043,アルー,0.11287405863109937,True,1,0.64935064935065512,L4_price_control,1
2025-07-23,1,7808,シー・エス・ランバー,0.090870415906451493,True,1,0.4366812227074135,L4_price_control,1
2025-07-24,1,7808,シー・エス・ランバー,0.11178745467973486,True,1,1.655629139072845,L4_price_control,1
2025-07-25,1,7634,星医療酸器,0.12330374052053149,True,1,0.439560439560438,L4_price_control,1
2025-07-28,1,7634,星医療酸器,0.12258448826711996,True,0,0,L4_price_control,1
2025-07-29,1,9259,タカヨシホールディングス,0.11909737412972191,True,0,0,L4_price_control,1
2025-07-30,1,7043,アルー,0.11666033591232153,True,1,2.130325814536338,L4_price_control,1
2025-07-31,1,9259,タカヨシホールディングス,0.11339578950820201,True,1,0.14265335235377208,L4_price_control,1
2024-07-01,1,7043,アルー,0.15502255455270897,True,1,0.49999999999998934,L4_price_control,2
2024-07-01,2,8139,ナガホリ,0.12202197409636413,True,1,2.3826714801443938,L4_price_control,2
2024-07-02,1,7043,アルー,0.14939253417499956,True,0,-0.49813200498132204,L4_price_control,2
2024-07-02,2,8139,ナガホリ,0.1086650748408302,True,0,-0.56417489421720646,L4_price_control,2
