date,model_rank,code,name,model_score,trade_allowed,label,oc_return_pct,hypothesis_id,policy_id,capacity,executed
2024-08-22,1,7043,アルー,0.11447203904390335,True,0.0,-0.37783375314861534,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-08-23,1,7043,アルー,0.11054253578186035,True,0.0,-1.4981273408239737,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-08-26,1,7043,アルー,0.09927552938461304,True,1.0,0.25316455696202667,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-08-27,1,3738,ティーガイア,0.10347440838813782,True,1.0,1.206434316353877,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-08-28,1,9914,植松商会,0.11778032779693604,True,,,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,False
2024-08-29,1,2736,フェスタリアホールディングス,0.12411275506019592,True,0.0,-0.7027406886858767,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-08-30,1,3991,ウォンテッドリー,0.12020718306303024,True,0.0,-0.42016806722688926,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-02,1,4445,リビン・テクノロジーズ,0.1443287581205368,True,0.0,-0.43266630611140666,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-03,1,3092,ＺＯＺＯ,0.11994824558496475,True,1.0,3.397947548460656,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-04,1,7514,ヒマラヤ,0.1110118106007576,True,1.0,0.22446689113355678,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-05,1,3436,ＳＵＭＣＯ,0.10059750080108643,True,0.0,-0.8289124668435011,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-06,1,4445,リビン・テクノロジーズ,0.10913131386041641,True,0.0,-0.38461538461538325,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-09,1,7689,コパ・コーポレーション,0.10909322649240494,True,1.0,1.5050167224080369,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-10,1,7273,イクヨ,0.1265866607427597,True,,,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,False
2024-09-11,1,4445,リビン・テクノロジーズ,0.11859102547168732,True,1.0,1.1148272017837302,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-12,1,7069,サイバー・バズ,0.1298815906047821,True,0.0,-2.512998266897748,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-13,1,6190,フェニックスバイオ,0.11676283925771713,True,0.0,-1.95227765726681,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-17,1,4503,アステラス製薬,0.11569970846176147,True,0.0,-1.6880093131548257,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-18,1,4507,塩野義製薬,0.10803252458572388,True,0.0,-1.2378564713256046,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-19,1,4884,クリングルファーマ,0.12718994915485382,True,1.0,4.8309178743961345,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-20,1,5247,ＢＴＭ,0.1260557621717453,True,1.0,1.610169491525415,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-24,1,4840,トライアイズ,0.12139394134283066,True,1.0,3.205128205128216,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-25,1,2372,アイロムグループ,0.11846248805522919,True,0.0,0.0,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-26,1,3092,ＺＯＺＯ,0.12259014695882797,True,1.0,3.1114774366371334,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-27,1,3787,テクノマセマティカル,0.12975171208381653,True,1.0,1.6245487364620947,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-09-30,1,3787,テクノマセマティカル,0.12973202764987946,True,0.0,0.0,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-01,1,3787,テクノマセマティカル,0.12397270649671555,True,1.0,0.17152658662091813,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-02,1,7815,東京ボード⼯業,0.12328550219535828,True,1.0,0.670016750418756,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-03,1,7815,東京ボード⼯業,0.11541061848402023,True,1.0,0.9819967266775809,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-04,1,3726,フォーシーズＨＤ,0.10984653234481812,True,0.0,-0.4158004158004158,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-07,1,1925,大和ハウス⼯業,0.09019076824188232,True,0.0,-0.1295896328293744,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-08,1,4361,川口化学⼯業,0.11909795552492142,True,1.0,0.12853470437017567,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-09,1,2229,カルビー,0.1077909767627716,True,1.0,0.9381413075344458,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-10,1,2334,イオレ,0.10946431756019592,True,1.0,0.9230769230769154,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-11,1,2334,イオレ,0.10678347200155258,True,0.0,-0.1524390243902385,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-15,1,9601,松竹,0.10258885473012924,True,1.0,0.9304812834224574,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-16,1,8871,ゴールドクレスト,0.11580927670001984,True,1.0,2.8037383177569986,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-17,1,8025,ツカモトコーポレーション,0.0961296409368515,True,0.0,-2.1015761821365997,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-18,1,3195,ジェネレーションパス,0.10285371541976929,True,1.0,4.680851063829783,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-21,1,9064,ヤマトホールディングス,0.092967189848423,True,1.0,0.061538461538468425,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-22,1,7072,インティメート・マージャー,0.10573290288448334,True,0.0,-0.8474576271186418,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-23,1,8871,ゴールドクレスト,0.12809306383132935,True,0.0,-2.7156549520766737,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-24,1,8871,ゴールドクレスト,0.1326667070388794,True,1.0,0.8291873963515828,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-25,1,7815,東京ボード⼯業,0.12165997922420502,True,1.0,1.1513157894736947,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-28,1,8871,ゴールドクレスト,0.12383042275905609,True,0.0,-2.1035598705501646,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-29,1,8871,ゴールドクレスト,0.12576067447662354,True,0.0,-0.658978583196046,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-30,1,7379,サーキュレーション,0.11748479306697845,True,1.0,1.1513157894736947,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-10-31,1,7376,ＢＣＣ,0.13629628717899323,True,0.0,0.0,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-01,1,9913,日邦産業,0.12137085944414139,True,1.0,0.7228915662650603,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-05,1,3537,昭栄薬品,0.12806271016597748,True,0.0,-0.4511278195488688,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-06,1,4840,トライアイズ,0.11607756465673447,True,0.0,-1.0101010101010055,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-07,1,4840,トライアイズ,0.0998433455824852,True,1.0,0.340136054421758,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-08,1,4091,日本酸素ホールディングス,0.10761221498250961,True,0.0,-0.9712750568299233,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-11,1,4840,トライアイズ,0.1024189218878746,True,1.0,3.4482758620689724,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-12,1,5587,インバウンドプラットフォーム,0.11154469847679138,True,1.0,1.3254786450662692,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-13,1,4073,ジィ・シィ企画,0.10215424746274948,True,0.0,-0.658978583196046,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-14,1,7284,盟和産業,0.10537823289632797,True,0.0,-0.5897219882055604,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-15,1,9219,ギックス,0.11042047291994095,True,0.0,-0.6362672322375418,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-18,1,4387,ＺＵＵ,0.11414648592472076,True,0.0,-0.2902757619738794,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-19,1,7815,東京ボード⼯業,0.11489726603031158,True,1.0,1.4999999999999902,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-20,1,8938,グローム・ホールディングス,0.11216797679662704,True,0.0,-2.5740025740025763,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-21,1,8938,グローム・ホールディングス,0.15048815310001373,True,1.0,1.7287234042553168,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-22,1,8938,グローム・ホールディングス,0.1452900767326355,True,1.0,1.182654402102501,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-25,1,8938,グローム・ホールディングス,0.13619041442871094,True,0.0,-0.2597402597402598,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-26,1,4267,ライトワークス,0.15628410875797272,True,1.0,0.9708737864077666,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-27,1,4267,ライトワークス,0.12542445957660675,True,1.0,1.1650485436893288,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-28,1,4267,ライトワークス,0.10999620705842972,True,1.0,1.4548981571290032,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-11-29,1,4424,Ａｍａｚｉａ,0.11488843709230423,True,0.0,-0.8695652173912993,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-02,1,4267,ライトワークス,0.11545183509588242,True,1.0,3.9024390243902474,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
2024-12-03,1,4465,ニイタカ,0.11106108874082565,True,1.0,0.8086253369272267,C00_DAILY_RANK_RIDGE,C00_DAILY_RANK_RIDGE_K1,1,True
