date,policy_id,hypothesis_id,capacity,slot,code,name,uplift_score_pct,oc_return_pct,label
2025-05-09,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-05-12,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,7846,パイロットコーポレーション,1.1122376513960857,-0.975847767748228,0.0
2025-05-13,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,5976,高周波熱錬,0.7718983922962355,0.0,0.0
2025-05-14,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,6822,大井電気,0.4407129734840069,-2.271880819366856,0.0
2025-05-15,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,7313,テイ・エス テック,1.1575793559419358,-0.4878048780487809,0.0
2025-05-16,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,9780,ハリマビステム,0.49760026734964785,-1.4084507042253502,0.0
2025-05-19,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,8803,平和不動産,0.4115294433805012,0.8888888888888946,1.0
2025-05-20,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-05-21,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-05-27,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-05-28,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,5939,大⾕⼯業,0.6140184988626606,2.0408163265306145,1.0
2025-05-29,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,,,,,
2025-05-30,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,7202,いすゞ自動車,1.0539382329071956,2.243673362901122,1.0
2025-06-02,U01_MATCHED_NO_EVENT_K1,U01_MATCHED_NO_EVENT,1,1,6973,協栄産業,1.646083026291138,0.0,0.0
