date,code,name,label,oc_return_pct,outcome_observed,source_complete,universe_source_complete,feature_source_max_date,candidate_price_source_max_date,oc_last,oc_mean_5,oc_mean_20,oc_mean_60,oc_win_20,oc_std_20,overnight_last,overnight_mean_20,overnight_mean_60,night_day_corr_60,xrank_atr14_pct,xrank_close_momentum_5,xrank_close_momentum_20,xrank_close_momentum_60,xrank_prior_close_location_20,family_score__g0_raked_logit,family_rank__g0_raked_logit,family_rank_pct__g0_raked_logit,family_score_z__g0_raked_logit,family_score_iqr__g0_raked_logit,family_score__g0_ridge_return,family_rank__g0_ridge_return,family_rank_pct__g0_ridge_return,family_score_z__g0_ridge_return,family_score_iqr__g0_ridge_return,family_score__g0_hgb_rank,family_rank__g0_hgb_rank,family_rank_pct__g0_hgb_rank,family_score_z__g0_hgb_rank,family_score_iqr__g0_hgb_rank,family_score__g0_extra_trees_top_quintile,family_rank__g0_extra_trees_top_quintile,family_rank_pct__g0_extra_trees_top_quintile,family_score_z__g0_extra_trees_top_quintile,family_score_iqr__g0_extra_trees_top_quintile,model_rank,local_margin_iqr,top_tail_slope_iqr,anchor_score_tail_z,anchor_rank_percentile,anchor_score_iqr,slot_is_rank2,family_rank_percentile_mean,family_rank_percentile_std,family_rank_percentile_min,family_top2_vote_rate,family_top5_vote_rate,family_rank_correlation_mean,anchor_model_score,family_model_count,base_model_train_end,base_model_train_sessions,prior_selection_count_5,prior_selection_count_20,sessions_since_selected,last_selected_net_pct,consecutive_selection,anchor_score_change_since_selected,anchor_score_age_sessions,repeat_feature_source_max_date,gate_id,predicted_net_mean_pct,predicted_negative_part_pct,trade_utility_pct,trade_decision,meta_train_end,meta_train_sessions,executed,gross_sleeve_return_pct,net_sleeve_return_pct_20bp,net_sleeve_return_pct_40bp,trade_reason
2024-07-01,8142,トーホー,0.0,-1.0840108401083959,True,True,True,2024-06-28,2024-06-28,-6.234096692111956,-0.753433358451907,0.8618657825077207,0.27272808223058514,0.6,3.4601224580809777,-0.6321112515802807,0.1454885971991582,0.0851775523400087,0.1765911191943904,0.8250521,-0.81434095,0.93692356,0.8185064,0.0419518,0.5371656320741107,1,1.0,3.291755932867612,0.011289958484863027,0.22352742058963015,5,0.998755444928438,2.68199012280652,0.08492304503173015,0.026752006263040355,1276,0.603298070939639,0.18379174560405764,0.045945073957875074,0.6376168023428229,47,0.985687616677038,0.9057283134744644,0.15557522075248864,1,0.11123748269172995,0.853959925220684,3.291755932867612,1.0,0.011289958484863027,0.0,0.8969352831362788,0.1696241951381974,0.603298070939639,0.25,0.5,0.38147635388697115,0.5371656320741107,4,2024-06-28,60,0.0,0.0,,,0.0,,,,forced_top2,,,,True,,,True,-0.5420054200541979,-0.6420054200541979,-0.7420054200541979,utility_positive
2024-07-01,7874,レック,0.0,-2.025931928687197,True,True,True,2024-06-28,2024-06-28,-3.1720856463124503,-1.6284285799050302,0.17250281597220968,0.24544710763856947,0.65,2.190499506211228,-0.6304176516942483,-0.17534132141558248,-0.11365238860992331,-0.042957157107360235,0.87265694,-0.99464446,-0.44064265,0.38351682,-0.97411484,0.5359097655125604,2,0.9996888612321095,3.1805184501758816,0.011289958484863027,0.22888360208515113,4,0.9990665836963286,2.7450611242469387,0.08492304503173015,0.059488302960200634,179,0.9446172993154947,0.8963011373002097,0.045945073957875074,0.6295974768947911,87,0.9732420659614188,0.8541820234596159,0.15557522075248864,2,0.19688677480598138,0.853959925220684,3.1805184501758816,0.9996888612321095,0.011289958484863027,1.0,0.9791537025513379,0.02261595771341019,0.9446172993154947,0.25,0.5,0.38147635388697115,0.5359097655125604,4,2024-06-28,60,0.0,0.0,,,0.0,,,,forced_top2,,,,True,,,True,-1.0129659643435984,-1.1129659643435985,-1.2129659643435984,utility_positive
2024-07-02,4664,アール・エス・シー,0.0,-0.6980802792321161,True,True,True,2024-07-01,2024-07-01,-11.544461778471138,-3.223126167902355,-0.7895405594213406,0.022344112485739843,0.35,2.6373239138293845,0.9448818897637823,0.05555406484711256,-0.30376203525338447,-0.41415100556119666,0.46662712,-0.9952536,-0.9768615,-0.8563798,-0.79115987,0.5542925092849511,1,1.0,4.50756335578255,0.011950584387879104,0.4911467377094675,1,1.0,5.770578373523692,0.08420913370577557,0.05502705146135295,310,0.9038880248833593,0.8072015490768751,0.04713900940763388,0.5939548470280209,486,0.849144634525661,0.6219711557321896,0.15877685319914792,1,0.06714095169451723,1.7203045482220276,4.50756335578255,1.0,0.011950584387879104,0.0,0.938258164852255,0.06470439750042671,0.849144634525661,0.5,0.5,0.44134537465433415,0.5542925092849511,4,2024-06-28,60,0.0,0.0,,,0.0,,,,forced_top2,,,,True,,,True,-0.34904013961605806,-0.44904013961605804,-0.549040139616058,utility_positive
2024-07-02,160A,アズパートナーズ,0.0,-0.5398671096345509,True,True,True,2024-07-01,2024-07-01,-1.6209476309226978,-1.0355076564964167,0.22701240150191698,-0.30299872451973403,0.4,2.79703827377359,0.0,0.6563350373976407,0.035199192315769595,0.15720190890539276,0.9021062,-0.95312965,0.92583805,,-0.18807475,0.5534901356758433,2,0.9996889580093312,4.440422404088033,0.011950584387879104,0.3276840250505734,3,0.9993779160186625,3.829426559398299,0.08420913370577557,-0.023912875815411124,2687,0.16454121306376357,-0.8674184369761245,0.04713900940763388,0.6206675679475296,183,0.9433903576982893,0.7902118053059908,0.15877685319914792,2,1.0276285717634999,1.7203045482220276,4.440422404088033,0.9996889580093312,0.011950584387879104,1.0,0.7767496111975116,0.35420106422914877,0.16454121306376357,0.25,0.5,0.44134537465433415,0.5534901356758433,4,2024-06-28,60,0.0,0.0,,,0.0,,,,forced_top2,,,,True,,,True,-0.26993355481727543,-0.3699335548172754,-0.46993355481727545,utility_positive
2024-07-03,6151,日東⼯器,0.0,-4.340497260851239,True,True,True,2024-07-02,2024-07-02,-3.2746623004502706,-0.7507371901468993,0.3639008906557078,0.6704658326334925,0.75,1.6735008710196946,0.9504132231404894,-0.35137434049373867,-0.3980196187134919,-0.017697308682125535,0.5251927,-0.57794905,-0.33195022,0.7190279,-0.043568466,0.5432222169596274,1,1.0,4.006196866158577,0.011026496059179824,0.30086122057113796,1,1.0,3.887852900994583,0.07987436945257848,0.07678092423139775,16,0.9953445065176909,1.4123627848215272,0.0483393676484684,0.5787782615044085,609,0.8112973308504035,0.5251430070647136,0.15981637290054052,1,0.7344213922967855,0.6189668642593525,4.006196866158577,1.0,0.011026496059179824,0.0,0.9516604593420237,0.08106097427191661,0.8112973308504035,0.5,0.5,0.38752669210314017,0.5432222169596274,4,2024-06-28,60,0.0,0.0,,,0.0,,,,forced_top2,,,,True,,,True,-2.1702486304256197,-2.2702486304256198,-2.37024863042562,utility_positive
2024-07-03,7874,レック,1.0,1.5371477369769515,True,True,True,2024-07-02,2024-07-02,-2.740863787375414,-2.717807565092105,-0.30949270740591456,0.196854043714747,0.55,2.158636593167488,-0.41356492969396585,-0.07873327367243335,-0.09549507249447402,-0.05769447800500096,0.87433314,-0.9940723,-0.9051571,0.26733848,-0.9828097,0.5351241223716895,2,0.999689633767846,3.271775473861792,0.011026496059179824,0.2468083671589012,6,0.9984481688392303,3.2111295192303237,0.07987436945257848,0.053042426612182274,170,0.9475481067659839,0.9212827650776689,0.0483393676484684,0.6350503461496623,59,0.9819987585350713,0.8772476357955504,0.15981637290054052,2,0.366833988814238,0.6189668642593525,3.271775473861792,0.999689633767846,0.011026496059179824,1.0,0.9819211669770329,0.021037903242550005,0.9475481067659839,0.25,0.25,0.38752669210314017,0.5351241223716895,4,2024-06-28,60,1.0,1.0,2.0,-2.225931928687197,0.0,-0.0007856431408709286,2.0,2024-07-01,forced_top2,,,,True,,,True,0.7685738684884758,0.6685738684884758,0.5685738684884758,utility_positive
2024-07-04,168A,イタミアート,0.0,-1.8659295093296446,True,True,True,2024-07-03,2024-07-03,-1.9568151147098534,-1.0342948773226304,-0.4067374556266296,-0.5095324687520839,0.55,3.5627426003059433,1.1604095563140016,0.618672673857501,0.057963161463541815,-0.04819068145310778,0.91033256,-0.5813539,0.004750594,,-0.1104513,0.554902283936885,1,1.0,5.203685677159349,0.010872278165145133,0.3273728840595051,2,0.9996902106567535,4.361686071433658,0.07952912938074094,-0.051465663776896084,2928,0.09324659231722432,-1.1661896511259362,0.04924788604705629,0.606177775078482,333,0.8971499380421314,0.6847111969409668,0.15980886524713023,1,0.6115540140984032,2.0357539747689986,5.203685677159349,1.0,0.010872278165145133,0.0,0.7475216852540273,0.380065381181526,0.09324659231722432,0.5,0.5,0.3505134911028756,0.554902283936885,4,2024-06-28,60,0.0,0.0,,,0.0,,,,forced_top2,,,,True,,,True,-0.9329647546648223,-1.0329647546648224,-1.1329647546648223,utility_positive
2024-07-04,4177,ｉ‐ｐｌｕｇ,0.0,-1.6666666666666718,True,True,True,2024-07-03,2024-07-03,-10.743243243243239,-2.957309067306171,-0.5699013866543551,-0.1906788206773942,0.5,4.144357432424213,0.611828687967364,0.07920469133488317,0.5349330538643198,-0.32169029964472146,0.7975059,-0.9952494,-0.95961994,0.6887437,-0.93052256,0.5482532985825961,2,0.9996902106567535,4.592131663060946,0.010872278165145133,0.3812470523975011,1,1.0,5.039100356708638,0.07952912938074094,0.03493157483277326,582,0.8200123915737298,0.5881443019521085,0.04924788604705629,0.6381148164238234,46,0.9860594795539034,0.8845564389177092,0.15980886524713023,2,0.22131626773556398,2.0357539747689986,4.592131663060946,0.9996902106567535,0.010872278165145133,1.0,0.9514405204460967,0.07608856853787196,0.8200123915737298,0.5,0.5,0.3505134911028756,0.5482532985825961,4,2024-06-28,60,0.0,0.0,,,0.0,,,,forced_top2,,,,True,,,True,-0.8333333333333359,-0.9333333333333359,-1.0333333333333359,utility_positive
2024-07-05,5038,ｅＷｅＬＬ,1.0,1.0752688172043001,True,True,True,2024-07-04,2024-07-04,-4.536222071767093,-1.6948156922261908,0.3236815320400884,0.0425341951950046,0.7,2.7822305130493774,1.9323671497584627,0.44950563209128214,-0.02922983440300583,0.05558552383816964,0.8896142,-0.7916914,0.85845697,-0.30801186,-0.16498516,0.5362086753784534,1,1.0,3.187593057416863,0.011380083286448794,0.2174439263482659,8,0.9978361669242658,2.733568798954695,0.08199910613840761,0.018086689643447527,1390,0.5706336939721792,0.13213180474651876,0.048478782992194006,0.6251786211062652,139,0.9573415765069552,0.8016942883327147,0.1592151673789149,1,0.028285307155857805,0.6580289579186044,3.187593057416863,1.0,0.011380083286448794,0.0,0.88145285935085,0.1802540913517017,0.5706336939721792,0.25,0.25,0.4328928504909903,0.5362086753784534,4,2024-06-28,60,0.0,0.0,,,0.0,,,,forced_top2,,,,True,,,True,0.5376344086021501,0.4376344086021501,0.33763440860215005,utility_positive
2024-07-05,7932,ニッピ,0.0,-3.2786885245901676,True,True,True,2024-07-04,2024-07-04,-3.913043478260869,-2.634179942372046,0.3061498415261387,0.18897213286407716,0.55,2.7440033134121147,0.4366812227074135,0.3937699168518338,0.1059463455283858,0.027640852897971146,0.86646885,-0.9845697,0.8296736,0.75489616,-0.45519286,0.535886786227237,2,0.9996908809891808,3.1593077502610054,0.011380083286448794,0.25437431334952276,3,0.9993817619783617,3.1839442815718044,0.08199910613840761,0.036665194478125024,661,0.7959814528593508,0.515361409286488,0.048478782992194006,0.6461049672035603,25,0.99258114374034,0.9331286638497946,0.1592151673789149,2,0.08426818119989646,0.6580289579186044,3.1593077502610054,0.9996908809891808,0.011380083286448794,1.0,0.9469088098918084,0.08718426880748102,0.7959814528593508,0.25,0.5,0.4328928504909903,0.535886786227237,4,2024-06-28,60,0.0,0.0,,,0.0,,,,forced_top2,,,,True,,,True,-1.6393442622950838,-1.7393442622950839,-1.8393442622950837,utility_positive
