model_name,portfolio_top_k,date,code,name,model_rank,model_score,label,oc_return_pct,outcome_observed,source_complete,universe_source_complete,universe_source_date
current_logit,1,2025-01-06,4267,ライトワークス,1,0.5380260783637861,0.0,0.0,True,True,True,2024-12-30
current_logit,1,2025-01-07,6226,守⾕輸送機⼯業,1,0.537493761212072,1.0,0.039308176100627534,True,True,True,2025-01-06
current_logit,1,2025-01-08,5161,⻄川ゴム⼯業,1,0.5298462704742277,1.0,0.6263982102908239,True,True,True,2025-01-07
current_logit,1,2025-01-09,9362,兵機海運,1,0.5343384795776746,1.0,1.715039577836408,True,True,True,2025-01-08
current_logit,1,2025-01-10,7730,マニー,1,0.545663992114846,0.0,-2.0689655172413834,True,True,True,2025-01-09
current_logit,1,2025-01-14,4783,ＮＣＤ,1,0.5335528750483667,1.0,2.5123715264560254,True,True,True,2025-01-10
current_logit,1,2025-01-15,6857,アドバンテスト,1,0.5349031909300738,0.0,-3.2258064516129004,True,True,True,2025-01-14
current_logit,1,2025-01-16,4429,リックソフト,1,0.562251029121439,0.0,-4.30622009569378,True,True,True,2025-01-15
current_logit,1,2025-01-17,3238,セントラル総合開発,1,0.5345035310703368,0.0,-0.20920502092049986,True,True,True,2025-01-16
current_logit,1,2025-01-20,3976,シャノン,1,0.5356570945827979,1.0,3.5196687370600444,True,True,True,2025-01-17
current_logit,1,2025-01-21,4267,ライトワークス,1,0.5326510870121706,1.0,0.7148530579825341,True,True,True,2025-01-20
current_logit,1,2025-01-22,4267,ライトワークス,1,0.5362431842017902,1.0,2.2961203483768733,True,True,True,2025-01-21
current_logit,1,2025-01-23,5851,リョービ,1,0.5349366609037962,0.0,-0.8646779074794608,True,True,True,2025-01-22
current_logit,1,2025-01-24,7205,日野自動車,1,0.5411913712385397,0.0,-0.738007380073813,True,True,True,2025-01-23
current_logit,1,2025-01-27,8066,三⾕商事,1,0.5356369892892837,0.0,-3.121951219512198,True,True,True,2025-01-24
current_logit,1,2025-01-28,8066,三⾕商事,1,0.5427698869080547,1.0,1.1657374556512945,True,True,True,2025-01-27
current_logit,1,2025-01-29,4272,日本化薬,1,0.5369174297072423,0.0,-0.27407987470634554,True,True,True,2025-01-28
current_logit,1,2025-01-30,4267,ライトワークス,1,0.547879794963033,1.0,0.897226753670477,True,True,True,2025-01-29
current_logit,1,2025-01-31,4267,ライトワークス,1,0.5441865784840124,1.0,2.3443815683104274,True,True,True,2025-01-30
current_logit,1,2025-02-03,6547,グリーンズ,1,0.5449475058498301,1.0,0.7669365146996121,True,True,True,2025-01-31
current_logit,1,2025-02-04,4267,ライトワークス,1,0.5507823421888163,1.0,1.5322580645161343,True,True,True,2025-02-03
current_logit,1,2025-02-05,4267,ライトワークス,1,0.5478215357425908,1.0,3.494837172359011,True,True,True,2025-02-04
current_logit,1,2025-02-06,6547,グリーンズ,1,0.5453407670806601,1.0,2.365308804205002,True,True,True,2025-02-05
current_logit,1,2025-02-07,4267,ライトワークス,1,0.5510300420974485,1.0,0.6304176516942483,True,True,True,2025-02-06
current_logit,1,2025-02-10,4267,ライトワークス,1,0.5495145988856789,1.0,3.6632891660171474,True,True,True,2025-02-07
current_logit,1,2025-02-12,4783,ＮＣＤ,1,0.5634646540226506,1.0,1.0204081632652962,True,True,True,2025-02-10
current_logit,1,2025-02-13,3402,東レ,1,0.5503521815013463,0.0,-0.24449877750610804,True,True,True,2025-02-12
current_logit,1,2025-02-14,2120,ＬＩＦＵＬＬ,1,0.5538080789389777,1.0,1.1111111111111072,True,True,True,2025-02-13
