date,policy_id,hypothesis_id,capacity,slot,code,name,posterior_score_pct,oc_return_pct,label
2024-08-22,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,9534,北海道瓦斯,0.4239388111876764,0.8116883116883189,1.0
2024-08-23,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,9902,日伝,0.6815899880954144,3.6231884057970953,1.0
2024-08-26,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,6930,日本アンテナ,0.6336413813382958,0.0,0.0
2024-08-27,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,7779,ＣＹＢＥＲＤＹＮＥ,0.7064131101392717,0.45662100456620447,1.0
2024-08-28,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,2108,日本甜菜製糖,0.4332469427302694,0.11834319526626835,1.0
2024-08-29,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,4389,プロパティデータバンク,0.694410353783257,-1.708185053380784,0.0
2024-08-30,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,3692,ＦＦＲＩセキュリティ,0.9501635669770434,2.0289855072463725,1.0
2024-09-02,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,,,,,
2024-09-03,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,2652,まんだらけ,1.000549047737311,1.1467889908256979,1.0
2024-09-04,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,9913,日邦産業,0.6739666267054014,-1.355140186915893,0.0
2024-09-05,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,9221,フルハシＥＰＯ,0.623458138026768,-2.2471910112359605,0.0
2024-09-06,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,3692,ＦＦＲＩセキュリティ,0.86959211549018,-1.9256605463502052,0.0
2024-09-09,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,,,,,
2024-09-10,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,2652,まんだらけ,1.000549047737311,0.0,0.0
2024-09-11,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,9913,日邦産業,0.6739666267054014,1.5802469135802522,1.0
2024-09-12,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,4370,モビルス,0.5357099190149894,,
2024-09-13,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,3205,ダイドーリミテッド,0.7946471004693595,-1.3584117032392928,0.0
2024-09-17,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,2334,イオレ,1.067502227242939,-4.1358936484490405,0.0
2024-09-18,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,9913,日邦産業,0.6739666267054014,1.5818091942659374,1.0
2024-09-19,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,9221,フルハシＥＰＯ,0.623458138026768,-0.4044489383215333,0.0
2024-09-20,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,3667,ｅｎｉｓｈ,0.8135557658447872,1.5625,1.0
2024-09-24,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,2334,イオレ,1.067502227242939,-1.1816838995568735,0.0
2024-09-25,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,9913,日邦産業,0.6739666267054014,0.49043648847473253,1.0
2024-09-26,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,9221,フルハシＥＰＯ,0.623458138026768,-0.09950248756218638,0.0
2024-09-27,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,3103,ユニチカ,0.9039384730654579,2.857142857142847,1.0
2024-09-30,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,4884,クリングルファーマ,0.52633213756759,0.0,0.0
2024-10-01,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,2334,イオレ,0.8119120821745452,2.777777777777768,1.0
2024-10-02,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,9913,日邦産業,0.6189056321609931,1.3145539906103343,1.0
2024-10-03,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,4413,ボードルア,0.6242506089148584,-0.3745318352059934,0.0
2024-10-04,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,3103,ユニチカ,0.9103860533308812,-1.2698412698412653,0.0
2024-10-07,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,4884,クリングルファーマ,0.593342741225016,0.3504672897196359,1.0
2024-10-08,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,2334,イオレ,0.8119120821745452,-0.911854103343468,0.0
2024-10-09,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,9913,日邦産業,0.6189056321609931,0.04948045522019662,1.0
2024-10-10,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,4413,ボードルア,0.6242506089148584,-4.940374787052814,0.0
2024-10-11,C01_WEEKDAY_ISSUER_EB_K1,C01_WEEKDAY_ISSUER_EB,1,1,3103,ユニチカ,0.9103860533308812,-0.3311258278145712,0.0
