date,code,name,model_rank,model_score,label,oc_return_pct,outcome_observed,source_complete,universe_source_complete,spec_id
2025-01-06,4267,ライトワークス,1,0.5389971346954234,0.0,0.0,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-06,6098,リクルートホールディングス,2,0.536033929563159,0.0,-3.6656236030397804,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-07,6098,リクルートホールディングス,1,0.5374355321664692,1.0,0.9417040358744355,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-07,6226,守⾕輸送機⼯業,2,0.5367793045910754,1.0,0.039308176100627534,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-08,8066,三⾕商事,1,0.5302357629092276,1.0,0.6653019447287578,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-08,5161,⻄川ゴム⼯業,2,0.5295850462791734,1.0,0.6263982102908239,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-09,9362,兵機海運,1,0.5358275945960165,1.0,1.715039577836408,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-09,7205,日野自動車,2,0.5341977858396694,0.0,-2.6848105921294385,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-10,7730,マニー,1,0.5477435905330933,0.0,-2.0689655172413834,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-10,2303,ドーン,2,0.5416509930328685,0.0,-2.0786262991414395,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-14,7373,アイドマ・ホールディングス,1,0.5371139454217962,0.0,-2.170620898536091,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-14,4783,ＮＣＤ,2,0.534085621048415,1.0,2.5123715264560254,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-15,5250,プライム・ストラテジー,1,0.5401219795071991,0.0,-8.59375,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-15,4343,イオンファンタジー,2,0.5357898119524436,1.0,1.1829652996845352,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-16,4429,リックソフト,1,0.5668375177719233,0.0,-4.30622009569378,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-16,245A,ＩＮＧＳ,2,0.5533261600195556,0.0,-6.5424806905951876,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-17,3238,セントラル総合開発,1,0.5350835202490994,0.0,-0.20920502092049986,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-17,8141,新光商事,2,0.5320801006045569,0.0,-0.3894839337877265,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-20,3976,シャノン,1,0.5339834739658823,1.0,3.5196687370600444,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-20,2986,ＬＡホールディングス,2,0.5333750816658119,1.0,4.496402877697836,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-21,4267,ライトワークス,1,0.5314552439611092,1.0,0.7148530579825341,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-21,3238,セントラル総合開発,2,0.5300051845914395,1.0,1.7057569296375252,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-22,8066,三⾕商事,1,0.5354300368248645,1.0,0.33653846153847145,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-22,4267,ライトワークス,2,0.5350708096638469,1.0,2.2961203483768733,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-23,5851,リョービ,1,0.5346262268600634,0.0,-0.8646779074794608,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-23,8066,三⾕商事,2,0.5343110705944821,1.0,0.6366307541625815,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-24,7205,日野自動車,1,0.5401883545596273,0.0,-0.738007380073813,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-24,8066,三⾕商事,2,0.5395439637117697,1.0,0.048661800486615725,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-27,8066,三⾕商事,1,0.5375344002998703,0.0,-3.121951219512198,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-27,5851,リョービ,2,0.5337189609516441,0.0,-0.04347826086956719,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-28,8066,三⾕商事,1,0.5449516618992054,1.0,1.1657374556512945,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-28,4267,ライトワークス,2,0.5345064343088625,1.0,2.499999999999991,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
2025-01-29,4272,日本化薬,1,0.5368565609899094,0.0,-0.27407987470634554,True,True,True,legacy_v03__positive_session__C0.08__hexpanding__cwbalanced__legacycw__ts20241106__min20
