date,model_rank,code,name,model_score,oc_return_pct,tail_condition_count,tail_flag__range_expansion,tail_flag__close_volatility_expansion,tail_flag__deep_60d_relative_loser,tail_flag__frequent_flat_session,tail_flag__large_positive_overnight,session_range_ratio_5_20,cc_vol_ratio_5_20,xrank_close_momentum_60,flat_oc_rate_20,overnight_last,display_source
2024-07-01,1,8142,トーホー,0.5371656320741107,-1.084010840108396,0,False,False,False,False,False,0.9410838,1.0099968,0.8185064,0.0,-0.6321112515802807,v06_error_discovery
2024-07-01,2,7874,レック,0.5359097655125604,-2.025931928687197,0,False,False,False,False,False,1.149966,0.7220046,0.38351682,0.0,-0.6304176516942483,v06_error_discovery
2024-07-02,1,4664,アール・エス・シー,0.5542925092849511,-0.6980802792321161,4,True,True,True,True,False,2.264987,1.7697817,-0.8563798,0.1,0.9448818897637823,v06_error_discovery
2024-07-02,2,160A,アズパートナーズ,0.5534901356758433,-0.5398671096345509,,False,False,,False,False,1.2698426,0.9167948,,0.0,0.0,v06_error_discovery
2024-07-03,1,6151,日東⼯器,0.5432222169596274,-4.340497260851239,0,False,False,False,False,False,1.040769,0.91752464,0.7190279,0.0,0.9504132231404894,v06_error_discovery
2024-07-03,2,7874,レック,0.5351241223716895,1.5371477369769515,0,False,False,False,False,False,1.1423571,0.45364085,0.26733848,0.0,-0.41356492969396585,v06_error_discovery
2024-07-04,1,168A,イタミアート,0.554902283936885,-1.8659295093296449,,False,False,,False,False,0.623482,0.59313625,,0.0,1.1604095563140016,v06_error_discovery
2024-07-04,2,4177,ｉ‐ｐｌｕｇ,0.5482532985825961,-1.6666666666666718,0,False,False,False,False,False,1.3460978,1.2337514,0.6887437,0.0,0.611828687967364,v06_error_discovery
2024-07-05,1,5038,ｅＷｅＬＬ,0.5362086753784534,1.0752688172043,1,False,False,False,False,True,1.155326,1.454896,-0.30801186,0.05,1.9323671497584627,v06_error_discovery
2024-07-05,2,7932,ニッピ,0.535886786227237,-3.278688524590168,0,False,False,False,False,False,0.99700373,0.70286095,0.75489616,0.0,0.4366812227074135,v06_error_discovery
2024-07-08,1,6151,日東⼯器,0.5359583403334218,-3.822495606326892,0,False,False,False,False,False,1.0679908,1.008059,0.45616114,0.0,0.0,v06_error_discovery
2024-07-08,2,7932,ニッピ,0.5334174098680253,-4.248861911987856,0,False,False,False,False,False,1.047857,0.6753945,0.75829387,0.0,1.2066365007541435,v06_error_discovery
2024-07-09,1,6151,日東⼯器,0.5456305336909895,0.2284148012791309,1,False,False,False,False,True,1.1034898,0.8020799,0.19064535,0.0,2.0170327207530203,v06_error_discovery
2024-07-09,2,173A,ハンモック,0.545564117618294,-1.9466474405191116,,False,False,,False,False,0.78139734,0.3702714,,0.05,0.0,v06_error_discovery
2024-07-10,1,9418,Ｕ−ＮＥＸＴ ＨＯＬＤＩＮＧＳ,0.5407772556262447,1.4101057579318343,1,False,False,True,False,False,1.1772829,1.5798737,-0.67694134,0.0,-0.6521739130434745,v06_error_discovery
2024-07-10,2,3961,シルバーエッグ・テクノロジー,0.5333065719572233,-0.1986097318768642,0,False,False,False,False,False,1.0253148,1.0454668,0.19561352,0.05,0.0,v06_error_discovery
2024-07-11,1,9070,トナミホールディングス,0.5444195428874686,0.1686340640809414,0,False,False,False,False,False,0.9350136,1.1547358,0.875074,0.0,0.0,v06_error_discovery
2024-07-11,2,2437,Ｓｈｉｎｗａ Ｗｉｓｅ Ｈｏｌｄｉｎｇｓ,0.5402635653281794,-2.570694087403602,4,True,True,True,False,True,1.5691578,1.8642428,-0.77264655,0.05,2.2499999999999964,v06_error_discovery
2024-07-12,1,175A,Ｗｉｌｌ Ｓｍａｒｔ,0.5406326101501301,1.265822784810133,,False,False,,False,False,0.7637858,0.56325376,,0.05,-1.5835312747426777,v06_error_discovery
2024-07-12,2,2788,アップルインターナショナル,0.5405342489746766,1.2891344383057168,1,False,False,False,True,False,1.2836902,1.4951292,0.9496296,0.15,0.0,v06_error_discovery
2024-07-16,1,5957,日東精⼯,0.5293605150319826,-1.0954616588419452,4,True,True,False,True,True,2.5789292,2.1061554,0.32366863,0.15,3.4833091436865082,v06_error_discovery
2024-07-16,2,8938,グローム・ホールディングス,0.5283069099398955,3.272727272727272,0,False,False,False,False,False,1.1433648,1.2705865,0.8994083,0.0,0.0,v06_error_discovery
2024-07-17,1,7807,幸和製作所,0.5551301636935987,-2.4207011686143587,2,False,True,True,False,False,1.4618379,1.7653897,-0.7895049,0.0,-2.2761760242792084,v06_error_discovery
2024-07-17,2,4434,サーバーワークス,0.5521675085257658,2.6470588235294024,2,True,False,False,False,True,1.5331277,0.9270146,0.9359621,0.05,14.54005934718101,v06_error_discovery
2024-07-18,1,3760,ケイブ,0.5448993884004515,-6.6016504126031545,3,True,True,True,False,False,1.9136314,1.9735215,-0.6908012,0.05,-1.6578249336870021,v06_error_discovery
2024-07-18,2,6814,古野電気,0.540930772032514,-4.359925788497221,1,False,False,False,False,True,1.4688201,1.651203,0.8397626,0.0,2.0559210526315708,v06_error_discovery
2024-07-19,1,4385,メルカリ,0.5368264427795,0.3216123499142354,0,False,False,False,False,False,1.1967415,1.1749365,0.8947368,0.0,-0.020304568527917954,v06_error_discovery
