candidate_id,date,model_rank,code,name,label,oc_return_pct,ensemble_score
C00_daily_rank_ridge,2024-07-10,1,1866,北野建設,0.0,-0.4070556309362261,
C00_daily_rank_ridge,2024-07-10,2,4491,コンピューターマネージメント,1.0,1.4251781472684133,
O01_softmax_ewma_vote_hl20,2024-07-11,1,3986,ビーブレイクシステムズ,1.0,0.4310344827586299,0.27324142762538933
O01_softmax_ewma_vote_hl20,2024-07-11,2,9070,トナミホールディングス,1.0,0.1686340640809414,0.2591666341380098
O02_equal_vote_control,2024-07-11,1,9070,トナミホールディングス,1.0,0.1686340640809414,0.2857142857142857
O02_equal_vote_control,2024-07-11,2,3986,ビーブレイクシステムズ,1.0,0.4310344827586299,0.25
O03_follow_leader_hl20,2024-07-11,1,7011,三菱重⼯業,0.0,-2.212153518123672,
O03_follow_leader_hl20,2024-07-11,2,9070,トナミホールディングス,1.0,0.1686340640809414,
C00_daily_rank_ridge,2024-07-11,1,3974,ＳＣＡＴ,1.0,1.295896328293744,
C00_daily_rank_ridge,2024-07-11,2,9070,トナミホールディングス,1.0,0.1686340640809414,
O01_softmax_ewma_vote_hl20,2024-07-12,1,4344,ソースネクスト,1.0,9.478672985782,0.415437301912168
O01_softmax_ewma_vote_hl20,2024-07-12,2,4491,コンピューターマネージメント,,,0.327188964226189
O02_equal_vote_control,2024-07-12,1,4344,ソースネクスト,1.0,9.478672985782,0.3928571428571428
O02_equal_vote_control,2024-07-12,2,4491,コンピューターマネージメント,,,0.3214285714285714
O03_follow_leader_hl20,2024-07-12,1,6777,ｓａｎｔｅｃ Ｈｏｌｄｉｎｇｓ,1.0,0.3424657534246478,
O03_follow_leader_hl20,2024-07-12,2,4344,ソースネクスト,1.0,9.478672985782,
C00_daily_rank_ridge,2024-07-12,1,4344,ソースネクスト,1.0,9.478672985782,
C00_daily_rank_ridge,2024-07-12,2,3991,ウォンテッドリー,1.0,2.132352941176463,
O01_softmax_ewma_vote_hl20,2024-07-16,1,8938,グローム・ホールディングス,1.0,3.272727272727272,0.3802181679512497
O01_softmax_ewma_vote_hl20,2024-07-16,2,5973,トーアミ,1.0,0.9090909090909038,0.1533341765506806
O02_equal_vote_control,2024-07-16,1,8938,グローム・ホールディングス,1.0,3.272727272727272,0.2857142857142857
O02_equal_vote_control,2024-07-16,2,5973,トーアミ,1.0,0.9090909090909038,0.17857142857142855
O03_follow_leader_hl20,2024-07-16,1,8938,グローム・ホールディングス,1.0,3.272727272727272,
O03_follow_leader_hl20,2024-07-16,2,7043,アルー,1.0,1.3095238095238049,
C00_daily_rank_ridge,2024-07-16,1,8938,グローム・ホールディングス,1.0,3.272727272727272,
C00_daily_rank_ridge,2024-07-16,2,1866,北野建設,0.0,-0.4132231404958664,
O01_softmax_ewma_vote_hl20,2024-07-17,1,7807,幸和製作所,0.0,-2.4207011686143587,0.353837191413807
O01_softmax_ewma_vote_hl20,2024-07-17,2,3892,岡山製紙,1.0,0.0675675675675613,0.2587701943878547
O02_equal_vote_control,2024-07-17,1,4434,サーバーワークス,1.0,2.6470588235294024,0.2857142857142857
O02_equal_vote_control,2024-07-17,2,7807,幸和製作所,0.0,-2.4207011686143587,0.2857142857142857
O03_follow_leader_hl20,2024-07-17,1,9644,タナベコンサルティンググループ,1.0,1.0302197802197766,
O03_follow_leader_hl20,2024-07-17,2,1518,三井松島ホールディングス,1.0,0.707964601769917,
C00_daily_rank_ridge,2024-07-17,1,7807,幸和製作所,0.0,-2.4207011686143587,
C00_daily_rank_ridge,2024-07-17,2,3892,岡山製紙,1.0,0.0675675675675613,
O01_softmax_ewma_vote_hl20,2024-07-18,1,7043,アルー,1.0,2.261904761904754,0.2883938551694958
O01_softmax_ewma_vote_hl20,2024-07-18,2,6870,日本フェンオール,1.0,0.2875215641173101,0.20845517809238961
O02_equal_vote_control,2024-07-18,1,2156,セーラー広告,0.0,0.0,0.17857142857142855
O02_equal_vote_control,2024-07-18,2,6870,日本フェンオール,1.0,0.2875215641173101,0.17857142857142855
O03_follow_leader_hl20,2024-07-18,1,7043,アルー,1.0,2.261904761904754,
O03_follow_leader_hl20,2024-07-18,2,6574,コンヴァノ,,,
C00_daily_rank_ridge,2024-07-18,1,6870,日本フェンオール,1.0,0.2875215641173101,
C00_daily_rank_ridge,2024-07-18,2,7043,アルー,1.0,2.261904761904754,
O01_softmax_ewma_vote_hl20,2024-07-19,1,5252,日本ナレッジ,1.0,0.6545454545454632,0.2247804237989583
O01_softmax_ewma_vote_hl20,2024-07-19,2,7590,タカショー,1.0,0.1855287569573205,0.17056747545921336
O02_equal_vote_control,2024-07-19,1,5252,日本ナレッジ,1.0,0.6545454545454632,0.17857142857142855
O02_equal_vote_control,2024-07-19,2,3760,ケイブ,0.0,-0.2380952380952372,0.14285714285714285
O03_follow_leader_hl20,2024-07-19,1,6574,コンヴァノ,0.0,-3.729071537290718,
O03_follow_leader_hl20,2024-07-19,2,4385,メルカリ,1.0,0.3216123499142354,
C00_daily_rank_ridge,2024-07-19,1,5252,日本ナレッジ,1.0,0.6545454545454632,
C00_daily_rank_ridge,2024-07-19,2,7590,タカショー,1.0,0.1855287569573205,
O01_softmax_ewma_vote_hl20,2024-07-22,1,7043,アルー,1.0,4.422604422604426,0.5039064751866104
O01_softmax_ewma_vote_hl20,2024-07-22,2,8617,光世証券,1.0,1.923076923076916,0.19465523153486752
O02_equal_vote_control,2024-07-22,1,7043,アルー,1.0,4.422604422604426,0.3571428571428571
O02_equal_vote_control,2024-07-22,2,8617,光世証券,1.0,1.923076923076916,0.2857142857142857
O03_follow_leader_hl20,2024-07-22,1,7043,アルー,1.0,4.422604422604426,
O03_follow_leader_hl20,2024-07-22,2,1518,三井松島ホールディングス,0.0,0.0,
C00_daily_rank_ridge,2024-07-22,1,7043,アルー,1.0,4.422604422604426,
C00_daily_rank_ridge,2024-07-22,2,4362,日本精化,0.0,-2.630643441166014,
