date,model_rank,code,name,oc_return_pct,forced_slot_net_pct,anchor_model_score,anchor_score_tail_z,local_margin_iqr,family_top2_vote_rate,family_rank_percentile_std,prior_selection_count_5,last_selected_net_pct,trade_decision,error_types,high_confidence_tail_z_threshold
2024-07-02,1,4664,アール・エス・シー,-0.6980802792321161,-0.8980802792321161,0.5542925092849511,4.50756335578255,0.06714095169451723,0.5,0.06470439750042671,0.0,,,high_confidence_loss,3.525287681938722
2024-07-02,2,160A,アズパートナーズ,-0.5398671096345509,-0.7398671096345508,0.5534901356758433,4.440422404088033,1.0276285717634999,0.25,0.35420106422914877,0.0,,,high_confidence_loss,3.525287681938722
2024-07-03,1,6151,日東⼯器,-4.340497260851239,-4.5404972608512395,0.5432222169596274,4.006196866158577,0.7344213922967855,0.5,0.08106097427191661,0.0,,,high_confidence_loss,3.525287681938722
2024-07-04,1,168A,イタミアート,-1.8659295093296446,-2.065929509329645,0.554902283936885,5.203685677159349,0.6115540140984032,0.5,0.380065381181526,0.0,,,high_confidence_loss,3.525287681938722
2024-07-04,2,4177,ｉ‐ｐｌｕｇ,-1.6666666666666718,-1.8666666666666718,0.5482532985825961,4.592131663060946,0.22131626773556398,0.5,0.07608856853787196,0.0,,,high_confidence_loss,3.525287681938722
2024-07-08,1,6151,日東⼯器,-3.8224956063268922,-4.022495606326892,0.5359583403334218,3.062288016766342,0.2272189530771689,0.25,0.08992528127850226,1.0,-4.5404972608512395,,repeat_loss,3.525287681938722
2024-07-08,2,7932,ニッピ,-4.248861911987856,-4.448861911987856,0.5334174098680253,2.8350690636891733,0.03886688435359104,0.25,0.09413609058323943,1.0,-3.4786885245901678,,repeat_loss,3.525287681938722
2024-07-09,2,173A,ハンモック,-1.9466474405191114,-2.1466474405191116,0.545564117618294,4.023105283655029,0.06130864089483644,0.25,0.3450778258688747,0.0,,,high_confidence_loss,3.525287681938722
2024-07-11,1,9070,トナミホールディングス,0.1686340640809414,-0.03136593591905862,0.5444195428874686,3.9383100406058755,0.36991808081986405,0.5,0.01541971357947487,0.0,,,high_confidence_loss,3.525287681938722
2024-07-11,2,2437,Ｓｈｉｎｗａ Ｗｉｓｅ Ｈｏｌｄｉｎｇｓ,-2.570694087403602,-2.7706940874036023,0.5402635653281794,3.568391959786011,0.08474607940292107,0.5,0.15197786893643198,0.0,,,high_confidence_loss,3.525287681938722
2024-07-17,1,7807,幸和製作所,-2.4207011686143587,-2.620701168614359,0.5551301636935987,5.249239718090174,0.2726325750215523,0.5,0.02834580393828628,0.0,,,high_confidence_loss,3.525287681938722
2024-07-18,1,3760,ケイブ,-6.6016504126031545,-6.801650412603155,0.5448993884004515,4.06653331941497,0.33920563871610115,0.5,0.10255401713784176,0.0,,,"catastrophic_loss,high_confidence_loss",3.525287681938722
2024-07-18,2,6814,古野電気,-4.359925788497221,-4.559925788497221,0.540930772032514,3.727327680698868,0.06280754368492938,0.25,0.019945214002971542,0.0,,,high_confidence_loss,3.525287681938722
2024-07-19,2,3760,ケイブ,-0.23809523809523725,-0.43809523809523726,0.536045048469173,3.326107739414288,0.31072413522191233,0.5,0.07997453033573255,1.0,-6.801650412603155,,repeat_loss,3.525287681938722
2024-07-23,1,6048,デザインワン・ジャパン,-2.0689655172413834,-2.2689655172413836,0.554267250548121,3.9321141110613156,0.6817994019488859,0.5,0.08845779024769936,0.0,,,high_confidence_loss,3.525287681938722
2024-07-24,1,7256,河⻄⼯業,-4.147465437788023,-4.347465437788023,0.5547566866252478,4.7950946022505985,1.7480618010440776,0.5,0.4257318316670912,0.0,,,high_confidence_loss,3.525287681938722
2024-07-25,1,6707,サンケン電気,-7.9125,-8.112499999999999,0.5519522279029735,3.75364735454275,0.6547660624673635,0.5,0.3588742313117039,0.0,,,"catastrophic_loss,high_confidence_loss",3.525287681938722
2024-07-26,1,4588,オンコリスバイオファーマ,0.0,-0.2,0.5586035384631413,4.49808027926217,1.4839589363158991,0.5,0.18242305272897597,0.0,,,high_confidence_loss,3.525287681938722
2024-07-26,2,9812,テーオーホールディングス,-6.020942408376961,-6.2209424083769616,0.5393279549744183,3.0141213429462703,0.4157565742686743,0.25,0.015970339407868194,0.0,,,catastrophic_loss,3.525287681938722
2024-07-31,1,6727,ワコム,-1.6216216216216162,-1.8216216216216161,0.5504599167035183,4.164950479531775,1.0740887632350042,0.5,0.1770558974292531,0.0,,,high_confidence_loss,3.525287681938722
2024-08-01,1,8938,グローム・ホールディングス,-4.433497536945808,-4.633497536945808,0.5607304647652422,4.522057362223474,1.3485990921072646,0.5,0.01936009075369757,0.0,3.0727272727272714,,high_confidence_loss,3.525287681938722
